size_bytes,price,rating_count_tot,rating_count_ver,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,user_rating_label
100788224,3.99,21292,26,4.5,1379,2,7,38,5,10,1,0
158578688,0.0,161065,26,3.5,1514,2,15,37,5,23,1,0
100524032,0.0,188583,2822,4.5,1210,2,22,37,5,3,1,0
128512000,0.0,262241,649,4.5,1236,0,17,37,5,9,1,0
92774400,0.0,985920,5320,5.0,1472,2,16,37,5,45,1,0
10485713,0.99,8253,5516,4.0,454,2,7,47,5,1,1,0
227795968,0.0,119487,879,4.5,1359,2,5,37,0,19,1,0
130242560,0.0,1126879,3594,4.5,1522,0,11,37,4,1,1,0
49250304,9.99,1117,4,5.0,1008,2,21,37,5,1,1,0
70023168,3.99,7885,40,4.0,1067,2,7,38,0,10,1,0
49618944,4.99,76720,4017,4.5,1096,2,7,38,4,11,1,0
227547136,7.99,105776,166,2.5,1247,2,7,37,0,6,1,0
179979264,0.0,479440,203,4.0,858,1,21,37,4,33,1,0
160925696,0.0,119773,2336,4.5,1463,2,5,37,0,2,1,0
55153664,4.99,6340,668,4.5,1065,2,7,38,5,2,1,0
207907840,0.0,56194,87,3.5,849,2,20,37,1,26,1,0
389879808,0.0,2974676,212,3.5,1577,2,18,37,1,29,1,0
167407616,0.0,223885,3726,4.5,550,0,20,37,5,18,1,0
147093504,0.0,402925,136,4.5,548,0,11,37,3,16,1,0
10735026,2.99,31456,4178,3.5,30,2,7,47,0,1,1,0
70707916,1.99,2929,966,4.5,961,2,16,43,0,2,1,0
6169600,2.99,11447,781,5.0,1257,2,7,40,5,1,1,0
130583552,0.0,137951,131,4.5,1420,2,19,37,2,6,1,0
71203840,5.99,8,0,0.0,1541,2,1,37,5,3,1,0
11423008,3.99,3241,297,4.0,656,2,11,43,2,10,1,0
188017664,0.0,5795,12,4.0,1522,2,8,37,5,11,1,0
4765696,0.0,42316,248,3.5,629,3,7,38,0,1,1,2
287933440,0.0,123215,25,5.0,534,2,15,37,5,23,1,0
4263936,4.99,782,7,3.5,495,2,11,43,1,1,1,0
